,영어,한글
0,notice board,게시판
1,computer terminal,단말기
2,storage equipment,저장 장치
3,piled up,쌓아올리다
4,confidential,기밀의
5,hold the line,전화를 끊지 않고 기다리다
6,type up,타이핑하다
7,sort out,분류하다
8,put A through,A를 전화로 연결해주다
9,concentrate on,~에 집중하다
10,make a call,전화를 걸다
11,give a return call,회신 전화를 하다
12,pile papers,서류를 쌓다
13,file the papers,서류를 철하다
14,look through papers,서류를 살펴보다
15,work at,~로 작업하다
16,enter A into B,B에 A를 입력하다
17,load A into B,B에 A를 넣다
18,talk on,이야기하다
19,hang up,전화를 끊다
20,be used,사용되다
21,be used to,~에 익숙하다
22,be accustomed to,~에 익숙하다
23,bulletin board,게시판
24,tidy up,정리하다
25,stare at,응시하다
26,grading,땅 고르기
27,office complex,사무 단지
28,pavement,포장
29,groundbreaking ceremony,기공식
30,demolish,(건물을)철거하다
31,haul,옮기다
32,torn down,철거되다
33,tore,찢었다
34,hammer into,~에 망치질하다
35,pack up,장비를 챙기다
36,dissolvent,용해제
37,dilute,희석시키다
38,scientific instrument,과학 기구
39,set up,설치하다
